"Points","Puntos"
"Order ID","ID del pedido"
"Points Spent","Puntos usados"
"Related to Order ID","Relacionados a un pedido"
"Not related to Order ID","No relacionados a un pedido"
"Registration points","Puntos por registrarse"
"Points earned upon customer registration.","Puntos ganados por registro de usuario"
"This shopping cart is worth %s loyalty point(s).","Con este pedido ganarás %s puntos de fidelización."
"You have %d loyalty point(s) available.","Dispone de %d puntos de fidelización disponibles"
"To get a discount you need at least %d loyalty point(s).","Para obtener un descuesto, necesitas al menos %d puntos."
"Enter quantity of loyalty point(s) you want to use.","Introduce la cantidad de puntos que deseas usar"
"%d loyalty point(s)","%d de puntos de fidelización"
"You are currently using %d point(s) of your %d loyalty point(s) available.","Estás usando %d puntos sobre un total de %d."
"Not enough points available.","No tienes puntos disponibles."
"The minimum required points is not reached.","No has alcanzado el minimo de puntos disponible."
"Amount of points wrongly used.","Puntos utilizados incorrectamente"
"Please enter a valid email address.","Introduzca una dirección de correo electrónico válida."
"Please enter your friend name.","Introduce el nombre del destinatario"
"This email has been already submitted.","Ese correo electrónico ya está utilizado por unos de nuestros usuarios"
"This email was successfully invited.","El correo electrónico se ha enviado correctamente."
"There was a problem with the invitation.","Ha habido un problema con el envío de la invitación"
"Referral","Referidos"
"Referred Friends","Referidos"
"Friend's name","Nombre del destinatario"
"Friend's email address","Dirección de correo del destinatario"
"* Required Fields","* Campo obligatorio"
"Refer a friend","Recomendar a un amigo"
"Full Name","Nombre"
"Email","Email"
"Coupon codes restriction","Restriccion de codigos promocionales"
"If yes, customers will not be able to use coupon codes and reward points at the same time within an order.","Si sí, el cliente no podrá utilizar a la vez cupones descuento y puntos de fidelización al realizar un pedido"
"With this product, you earn <span id='j2t-pts'>%d</span> loyalty point(s).","Con éste producto ganas <span id='j2t-pts'>%d</span> puntos"
"Registered?","¿Ya Registrado?"
"First order?","¿Primera compra?"
"Show referral link","Mostrar el link de referidos"
"Show refer a friend link in user account.","Mostrar el link de referidos en la cuenta del usuario"
"Apply store scope","Restringir a una tienda"
"If yes, the points collected will be available only for the store where the points were earned.","Si sí, los puntos ganados solo será posible usarlos en la misma tienda donde se realizó el pedido"
"Client points","Puntos del Cliente"
"Type of points","Tipo de puntos"
"Type of point","Tipo de punto"
"Points added","Puntos añadidos"
"Points used","Puntos usados"
"Valid until","Fecha de caducidad"
"Order: %s","Pedido: %s"
"Referral order state: %s","Estado del pedido del referido: %s"
"Order state: %s","Estado del pedido: %s"
"Customer email","Email del cliente"
"Accumulated points","Puntos ganados"
"Spent points","Puntos usados"
"Admin Gift","Regalo de administrador"
"Parent email","Email del cliente que refiere"
"Referred email","Email del cliente referido"
"Referred Name","Nombre del referido"
"Status","Estado"
"Has ordered","Ha realizado su pedido"
"Waiting for order","Esperando su pedio"
"Name","Nombre"
"Rule details","Detalles de la regla"
"Rule Name","Nombre de la regla"
"To Date","Fecha de finalización"
"Type of rule","Tipo de regla"
"Cart amount","Total del carrito"
"Product sku","SKU del producto"
"Rule condition","Condiciones de la regla"
"Operator","Operador"
"Between","Entre"
"Test value","Valor Test"
"From","De"
"To","A:"
"Points to be earned","Puntos a ganar"
"Status","Estado"
"Inactive","Inactivo"
"Active","Activo"
"Automatic use of points","Uso automático de puntos"
"Use maximum amount of point while in shopping cart.","Uso automático de todos los puntos disponibles"
"Referral order state : %s","Estado del pedido del referido: %s"
"Order state : %s","Estado del pedido: %s"
"new","Nuevo"
"processing","Procesando"
"complete","Completo."
"Points per validated review","Puntos por opiniones del producto validadas"
"Points the customer get while sending a valid review.","Puntos ganados por el clietne al hacer una opinion"
"Review points","Puntos de Opinión"
"User location","Dirección de cliente"
"User post code","Código postal"
"User region","Provincia"
"User country","Pais"
"Cart Attributes","Atributos del carrito"
"Action Type","Tipo de acción"
"Don't process points","No procesar puntos"
"Add / remove points","Añadir / Eliminar puntos"
"Points validity duration","Duración de los puntos"
"Points validity duration in days (use 0 for unlimited).","Duración de los puntos en numero de días (0 para ilimitado)"
"Maximum points collected per order","Maximo de puntos ganados por pedido"
"Maximum points to be collected per order (use 0 for unlimited).","Maximo de puntos ganados por pedido (0 para ilimitado)"
"Maximum points used per order","Maximo de puntos usados por pedido"
"Maximum points to be used per order (use 0 for unlimited).","Maximo de puntos usados por pedido (0 para ilimitado)"
"You tried to use %s loyalty points, but you can use a maximum of %s points per shopping cart.","Intentas usar %s puntos, pero para esta compra el numero de puntos está limitado a %s"
"Registration/Referral points","Puntos por Registro / Referido"
"Points gathered / unit of money spent","Puntos ganados / unidad de dinero"
"Points to obtain 1 unit of money","Puntos para obtener una unidad de dinero"
"Permanent Link","Enlace permanente"
"Share the following link with your friends: <br /><strong>%s</strong>","Comparte el siguiente enlace con tu amigos: <br /><strong>%s</strong>"
"Share referring link","Compartir enlace de referidos"
"Great deals here!","¡Grandes ofertas!"
"Visit this for great deals!","¡Visita esta web!"
"Show referral permanent link","Mostrar el link de referidos permanentemente"
"This will allow customers to share permanent their permanent link to refer friends.","Esto permite a los clientes compartir permanentemente su enlace de referidos"
"Share with addthis","Compartir con Addthis"
"Allow customers to share permanent link using addthis. Visit addthis.com to create an account.","Esto permite a los clientes compartir permanentemente su enlace de referidos usando Addthis. Visita addthis.com para crear una cuenta"
"addthis account name","Numero de cuenta de Addthis"
"Sharing title (may not be used)","Titulo a utilizar para compartir (puede no usarse)"
"Sharing text (may not be used)","Texto a usar para compartir (puede no usarse)"
"For any first valid order placed by referred friend, you earn: <strong>%s points</strong>","Para cada primer pedido válido realizado por tu referido, ganarás  <strong>%s points</strong>"
"For any first valid order placed by referred friend, your friend gets: <strong>%s extra points</strong>","Para cada primer pedido válido realizado por tu referefido, él ganara <strong>%s extra points</strong>"
"Attribute restriction","Restringir a un atributo"
"Only process points when reward_points attribute is filled (reward_points attribute needs to be created and must containt integer).","Procesar únicamente los puntos si el atributo reward_points está rellenado. (el atributo reward_points tiene que estar creado y contener datos)."
"Include tax in reward point discounts (only when customer tax applied before discount in customer tax tab).","Incluir el IVA en  en los descuentos por puntos (solo cuando sea necesario aplicar el IVA al cliente)"
"Include Tax","Incluir el IVA"
"Include shipping","Incluir gastos de envío"
"Include shipping price in discount (only for magento 1.4.x or greater).","Incluir los gastos de envío en el descuento (solo para magento 1.4 y superiores versiones)"
"Math method applied to point calculation. (For exact point value, round up method might be used when necessary.)","Cálculo matemático de los puntos (para valores exactos el redondeo al alza puede usarse en determinados casos)"
"Process currency rate","Uso del cambio de moneda"
"Use currency exchange rate while calculating points & discount (default magento base currency is used).","Uso del cambio de moneda en los calculos de puntos y descuentos (se usa la moneda por defecto en magento)"
"Use slider","Utilizar slider"
"Use slider to specify points.","Usar slider para especificar los puntos a usar."
"Slide to specify the amount of points to be used.","Desliza la pestaña para seleccionar el numero de puntos a usar"
"%s credit points","%s puntos"
"Minimum points balance to apply","Numero de puntos mínimo para usar"
"The minimum amount of points a customer must have to be able to use at checkout (use 0 for no-limit).","Número mínimo de puntos que ha de trener un cliente para usarlo al realizar un pedido (0 para ilimitado)"
"You must have at least %s point(s) to apply points.","Has de tener al menos %s puntos para usar el descuento por puntos"
"You haven't invited any friend.","No has invitado ni referido a ningún amigo."
"Validity status field","Campo de estado de validación"
"Only for magento 1.4.x or greater. Order status database field used (modify this only if you know what you are doing).","Solo para Magento 1.4 o superior, uso del campo de la BBDD “order Status” (modifica ésto solo si sabes lo que estás haciendo)"
"Valid statuses","Status Válidos"
"Order status database field used when checking points validity (modify this only if you know what you are doing).","Estado del pedido usado para chequear la validez de los puntos (modifica ésto sólo si sabes lo que estás haciendo)"
"Points availability delay","Retraso de obtención de puntos"
"Delaying the points availability (use 0 for no-delay).","Retraso de al aplicación de puntos (usar 0 para sin retraso)"
"Design and Graphics","Gráficos y diseño"
"Setup graphic design of the module","Configuración de diseño gráfico del módulo"
"Small inline image","Pequeña imagen"
"Big inline image","Gran imagen"
"Show small image","Mostrar pequeña imagen"
"Show small inline image on product views.","Mostrar pequeños imágenes en las producto páginas."
"Show big image","Mostrar gran imagen"
"Show big image on shopping cart area.","Mostrar la grande imagen en la cesta."
"Email notification","Notificación por correo electrónico"
"Email sent before points expiring","Correo electrónico enviado antes de expirar puntos"
"In days.","En días."
"Number of days before points expiring","Días antes de expirar puntos"
"Email Sender notification","Notificación por correo electrónico del remitente"
"Add/Remove points","Agregar / Quitar puntos"
"Points Balance","Cantidad de puntos"
"You also have %s expired points.","Usted también tiene %s puntos expirado."
"Turbo Mode","Modo Turbo"
"Note that guest orders do not allow referral points to be collected.","Tenga en cuenta que las órdenes de clientes no permiten que los puntos de referencia para ser recogidos."
"Unable guest orders","Órdenes no pueden invitado"
"Unable guest orders when customer orders from referral url/email.","Órdenes no pueden invitado cuando los pedidos de clientes de referencia url / email."
"Turbo Mode allow performance increases within cart process and customer account dashboard.","Modo Turbo permiten aumentar el rendimiento dentro del proceso de compra y el salpicadero cuenta del cliente."
"Step multiplier","Paso multiplicador"
"Multiplier for the step value. e.g. if the multiplier is 10 and step value 20, the steps will be: 20, 200, 2000, etc. Default value is 1.","Multiplicador para el valor del paso. por ejemplo si el multiplicador es 10 y el valor de 20 pasos, los pasos serán los siguientes: 20, 200, 2000, El valor por defecto es 1, etc."
"Show onepage checkout summary","Mostrar resumen de compra onepage"
"Show summary of point usage within onepage checkout review (compatible with magento 1.4.x or greater).","Mostrar resumen del uso del punto de revisión en onepage checkout (compatible con Magento 1.4.x o superior)."
"Review your <a href='%s'>shopping cart</a> to apply or modify points usage.","Revise <a href='%s'>su carrito</a> de compras para aplicar o modificar el uso de puntos."
"* Points are gathered only for registered clients.","* Los puntos se reúnen sólo para clientes registrados."
"Points cannot be redeemed within multiple shipping orders.","Los puntos no pueden ser canjeados dentro de las órdenes de envío múltiple."
