"pending","geplant"
"Hour","Stunde"
"Day of month","Tag des Monats"
"Month","Monat"
"Day of week","Tag der Woche"
"Every","Jede"
"Every x minutes, x:","Jede x Minuten, x:"
"Specify","Aus Liste auswählen"
"From - To","Von - Bis"
"From:","Von:"
"To:","Bis:"
"Every x hours, x:","Jede x Stunden,x:"
"The saved cron expression is not presentable in the GUI, mode is set to expert.","Die Cron Expression kann in der GUI nicht angezeigt werden, Expertenmodus ist an."
"Edit Cronjob","Cronjob bearbeiten"
"Edit Schedule","Cronjob bearbeiten"
"If you want to find out more about Cron Expressions, please refer to this Wikipedia article: ","Wenn Sie mehr über Cron Expressions wissen wollen, schauen Sie sich bitte diesen Wikipedia-Artikel an: "
"The left value must be less than the right value, otherwise use 'specify' option or expert mode.","Der 'Von'-Wert muss kleiner sein, als der 'Bis'-Wert, für spezielle Konfiguration bitte Option 'Aus Liste auswählen' oder Experten-Modus benutzen."
"The left value must be less than the right value (JAN=1, DEC=12), otherwise use 'specify' option or expert mode.","Der 'Von'-Wert muss kleiner sein, als der 'Bis'-Wert (JAN=1, DEC=12), für spezielle Konfiguration bitte Option 'Aus Liste auswählen' oder Experten-Modus benutzen."
"The left value must be less than the right value (SUN=0, SAT=6), otherwise use 'specify' option or expert mode.","Der 'Von'-Wert muss kleiner sein, als der 'Bis'-Wert (SUN=0, SAT=6), für spezielle Konfiguration bitte Option 'Aus Liste auswählen' oder Experten-Modus benutzen."

