"-- Please Select --","-- Bitte wählen --"
"Add New Class","Neue Klasse anlegen"
"Error while saving this tax rule. Please try again later.","Fehler beim Speichern dieser Regel. Bitte versuchen Sie es später noch einmal."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","zzgl. Steuern"
"Excl. Tax:","zzgl. Steuern:"
"Excluding tax","Excluding tax"
"Export Tax Rates","Steuersätze exportieren"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Steuersätze exportieren"
"Import Tax Rates","Steuersätze importieren"
"Inc. Tax","Inkl. Steuern"
"Incl. Tax","Inkl. Steuern"
"Incl. Tax:","Inkl. Steuern:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","Ungültige Steuersatzdaten"
"Invalid data for tax rate calculation","Ungültige Daten für die Berechnung des Steuersatzes"
"Invalid file format upload attempt","Ungültiges Dateiformat hochgeladen"
"Invalid file upload attempt","Ungültige Datei hochgeladen"
"Manage Customer Tax Classes","Kundensteuerklassen verwalten"
"Manage Product Tax Classes","Produktsteuerklassen verwalten"
"Manage Tax Rates","Steuersätze verwalten"
"Manage Tax Rules","Steuerregeln verwalten"
"Manage Tax Zones & Rates","Steuerzonen und -sätze verwalten"
"Name","Name"
"New Class","Neue Steuerklasse"
"New Rule","Neue Regel"
"New Tax Rate","Neuer Steuersatz"
"None","keine"
"One of the country has invalid code.","Eines der Bundesländer hat einen ungültigen Code."
"Original price only","Nur Originalpreis"
"Please select Country","Bitte Land wählen"
"Please select County","Bitte Landkreis wählen"
"Please select State","Bitte Land wählen"
"Priority","Priorität"
"Product Tax Class","Produktsteuerklasse"
"Product Tax Class Information","Produktsteuerklasse Information"
"Product Tax Classes","Produktsteuerklassen"
"Rate","Satz"
"Reset","Zurücksetzen"
"Sales","Verkäufe"
"Save Class","Steuerklasse speichern"
"Save Rate","Steuersatz speichern"
"Save Rule","Regel speichern"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Reihenfolge"
"State","Land"
"State/Region","Bundesland / Kanton"
"Tax","Steuer"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Steuerklasse für den Versand"
"Tax Classes","Steuerklassen"
"Tax Identifier","Steuerkennung"
"Tax Rate","Steuersatz"
"Tax Rate Information","Steuersatz Information"
"Tax Rule Information","Steuerregel Information"
"Tax Rules","Steuerregeln"
"Tax Section","Steuern"
"Tax Titles","Steuerbezeichnungen"
"Tax class was successfully deleted","Steuerklasse wurde erfolgreich gelöscht"
"Tax class was successfully saved","Steuerklasse wurde erfolgreich gespeichert"
"Tax rate was successfully deleted","Steuersatz wurde erfolgreich gelöscht"
"Tax rate was successfully imported","Steuersatz wurde erfolgreich importiert"
"Tax rate was successfully saved","Steuersatz wurde erfolgreich gespeichert"
"Tax rates at the same priority are added, others are compounded.","Steuersätze mit der gleichen Priorität wurden angelegt, andere werden zusammengezogen."
"Tax rule was successfully deleted","Regel wurde erfolgreich gelöscht"
"Tax rule was successfully saved","Regel wurde erfolgreich gespeichert"
"This class no longer exists","Diese Steuerklasse existiert nicht mehr"
"This rule no longer exists","Diese Regel existiert nicht mehr"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Sie können diese Steuerklasse nicht löschen, da sie noch für %s Kundengruppe(n) verwendet wird."
"You cannot delete this tax class as it is used for %d products.","Sie können diese Steuerklasse nicht löschen, da sie noch für %s Produkt(e) verwendet wird."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Sie können diese Steuerklasse nicht löschen, da sie noch in einer Regel verwendet wird. Bitte löschen Sie diese Regeln zuerst."
"Zip/Post Code","Postleitzahl"
